ride_id,wait_duration
25,0 days 00:01:00.268949
0,0 days 00:03:00.012461
2,0 days 00:02:00.022547
2,0 days 00:03:00.043494
0,0 days 00:01:00.064417
0,0 days 00:03:00.051493
2,0 days 00:01:00.076636
7,0 days 00:01:00.076876
7,0 days 00:02:00.088360
0,0 days 00:03:00.088489
2,0 days 00:02:00.100170
0,0 days 00:09:00.035666
0,0 days 00:02:00.108455
3,0 days 00:10:00.035750
0,0 days 00:09:00.043864
2,0 days 00:07:00.064045
7,0 days 00:04:00.100409
6,0 days 00:08:00.065046
8,0 days 00:06:00.087892
2,0 days 00:04:00.108086
7,0 days 00:02:00.132064
2,0 days 00:10:00.051122
0,0 days 00:08:00.077006
2,0 days 00:04:00.119620
2,0 days 00:08:00.088120
7,0 days 00:06:00.108330
0,0 days 00:03:00.141455
2,0 days 00:03:00.141084
0,0 days 00:02:00.148758
2,0 days 00:02:00.148385
7,0 days 00:02:00.148635
7,0 days 00:01:00.161486
0,0 days 00:08:00.100542
9,0 days 00:08:00.100013
0,0 days 00:05:00.132180
0,0 days 00:07:00.119992
7,0 days 00:05:00.141331
15,0 days 00:03:00.161307
6,0 days 00:02:00.170216
12,0 days 00:07:00.131368
2,0 days 00:04:00.161235
2,0 days 00:03:00.169209
7,0 days 00:03:00.169459
0,0 days 00:02:00.177679
6,0 days 00:02:00.178317
8,0 days 00:02:00.177092
11,0 days 00:09:00.120149
3,0 days 00:07:00.141549
3,0 days 00:06:00.148849
8,0 days 00:06:00.148166
3,0 days 00:05:00.161699
8,0 days 00:04:00.168990
2,0 days 00:03:00.177309
7,0 days 00:03:00.177561
3,0 days 00:02:00.185658
9,0 days 00:02:00.185052
6,0 days 00:01:00.201062
9,0 days 00:01:00.199913
19,0 days 00:01:00.200478
7,0 days 00:10:00.119860
2,0 days 00:09:00.131824
3,0 days 00:05:00.169673
2,0 days 00:03:00.185194
6,0 days 00:03:00.186201
7,0 days 00:03:00.185445
6,0 days 00:01:00.210488
0,0 days 00:07:00.161604
0,0 days 00:03:00.200423
15,0 days 00:02:00.209598
6,0 days 00:01:00.226852
8,0 days 00:01:00.225630
15,0 days 00:01:00.225942
8,0 days 00:08:00.161016
0,0 days 00:07:00.169583
9,0 days 00:06:00.177169
2,0 days 00:04:00.200054
8,0 days 00:04:00.199835
12,0 days 00:04:00.199619
0,0 days 00:03:00.209819
19,0 days 00:03:00.209942
0,0 days 00:02:00.226161
7,0 days 00:01:00.234608
8,0 days 00:01:00.234139
11,0 days 00:01:00.234905
6,0 days 00:10:00.149392
7,0 days 00:05:00.200305
7,0 days 00:04:00.209740
7,0 days 00:03:00.226096
3,0 days 00:02:00.234821
6,0 days 00:02:00.235364
0,0 days 00:01:00.243882
2,0 days 00:01:00.243513
7,0 days 00:01:00.243765
